book1,book2,prop1,prop2,count,pp1,pp2
0007THEA,artofmakingcommo00brow,0.9515151515151515,0.9345238095238095,314,330,336
0032ORIG,originandprogre00massgoog,0.9203296703296703,0.9178082191780822,335,364,365
0032ORIG,originandprogre01massgoog,0.9395604395604396,0.9095744680851063,342,364,376
01396246.5078.emory.edu,workspeterpinda01pindgoog,0.9040178571428571,0.9020044543429844,405,448,449
03880564.26397.emory.edu,bub_gb_BLa1IrERq3gC,0.9045307443365695,0.9074675324675324,559,618,616
03880564.26397.emory.edu,bub_gb_OAETcQAoBEYC,0.9207119741100324,0.917741935483871,569,618,620
03880564.26397.emory.edu,bub_gb_bmV3qgdrio4C,0.9207119741100324,0.9237012987012987,569,618,616
03880564.26397.emory.edu,descrizionedelle00titi,0.9401294498381877,0.9310897435897436,581,618,624
04848942.5122.emory.edu,b29002801_0002,0.9561752988047809,0.9561752988047809,480,502,502
04848942.5123.emory.edu,b29002801_0001,0.9599056603773585,0.9421296296296297,407,424,432
101264294.nlm.nih.gov,b21524610,0.944578313253012,0.9289099526066351,392,415,422
101264294.nlm.nih.gov,b21524622,0.9590361445783132,0.9255813953488372,398,415,430
101264294.nlm.nih.gov,b21529383,0.9493975903614458,0.933649289099526,394,415,422
101264294.nlm.nih.gov,b21529668,0.9421686746987952,0.9178403755868545,391,415,426
101264294.nlm.nih.gov,b2153150x,0.9493975903614458,0.9120370370370371,394,415,432
101264294.nlm.nih.gov,b21531511,0.9542168674698795,0.9473684210526315,396,415,418
101264294.nlm.nih.gov,b21532059,0.944578313253012,0.9289099526066351,392,415,422
101264294.nlm.nih.gov,b21532060,0.9542168674698795,0.9383886255924171,396,415,422
101264294.nlm.nih.gov,b21532084,0.9518072289156626,0.9495192307692307,395,415,416
101264294.nlm.nih.gov,experiencedengl00raffgoog,0.9180722891566265,0.900709219858156,381,415,423
101264294.nlm.nih.gov,experiencedengli00raff_0,0.9397590361445783,0.9112149532710281,390,415,428
101276873.nlm.nih.gov,2545040R.nlm.nih.gov,0.9634146341463414,0.9186046511627907,158,164,172
101276873.nlm.nih.gov,shortaccountofma00care,0.9573170731707317,0.9022988505747126,157,164,174
101283095.nlm.nih.gov,meinquiries02rush,0.9171597633136095,0.9064327485380117,310,338,342
101283153.nlm.nih.gov,medicalinquiriesand02rush,0.9147058823529411,0.9040697674418605,311,340,344
101283166.nlm.nih.gov,2569009R.nlm.nih.gov,0.9322916666666666,0.93717277486911,358,384,382
101283172.nlm.nih.gov,medicalinquiriesand04rush,0.9456521739130435,0.9190140845070423,261,276,284
101292821.nlm.nih.gov,historyoffirstdi00instit,0.965,0.965,386,400,400
11705107.5089.emory.edu,clarentinebyshb01burngoog,0.9370629370629371,0.9273356401384083,268,286,289
14341908.5151.emory.edu,recessortaleofot02lees,0.9583333333333334,0.940251572327044,299,312,318
15210893.5622.emory.edu,descrizionedelpa00taja,0.9263698630136986,0.9392361111111112,541,584,576
1582DouaiRheimsDouayRheimsFirstEdition3Of31582NewTestament,newtestamentofie00engl,0.9320261437908497,0.9235751295336787,713,765,772
1714essaiphiloso00lockuoft,yessaiphilosophi00lockuoft,0.9853801169590644,0.9873046875,1011,1026,1024
1729essaiphiloso00lockuoft,1735essaiphiloso00lockuoft,0.9700598802395209,0.9642857142857143,648,668,672
1729essaiphiloso00lockuoft,bub_gb_EJCFHWOcuqoC,0.9446107784431138,0.9334319526627219,631,668,676
1729essaiphiloso00lockuoft,bub_gb_K2WkZSA3IZ0C,0.9505988023952096,0.9421364985163204,635,668,674
1729essaiphiloso00lockuoft,bub_gb_Yao_w0iElHkC,0.9610778443113772,0.9610778443113772,642,668,668
1730estimuloprat00bernuoft,estimulopraticop00bernuoft,0.942,0.942,471,500,500
1735essaiphiloso00lockuoft,bub_gb_Yao_w0iElHkC,0.9761904761904762,0.9820359281437125,656,672,668
1735essayconcern01lockuoft,1741essayconcern01lockuoft,0.9804878048780488,0.9617224880382775,402,410,418
1735essayconcern01lockuoft,anessayconcerni00conggoog,0.9707317073170731,0.9498806682577565,398,410,419
1735essayconcern02lockuoft,1741essayconcern02lockuoft,0.9833333333333333,0.9030612244897959,354,360,392
1744artedefurtar00vieiuoft,artedefurtarespe00viei,0.9470802919708029,0.9792452830188679,519,548,530
1755analysedelap01dele,analysedelaphil02delegoog,0.9483568075117371,0.964200477326969,404,426,419
1771lasciencepar02ferr,lascienceparfait02devi,0.9897260273972602,0.9897260273972602,867,876,876
1782collectionco10rous,bub_gb_GbcBHFJO76AC,0.9537037037037037,0.9698681732580038,515,540,531
1782collectionco11rous,bub_gb_3NrYjxbHyl8C,0.9644351464435147,0.9644351464435147,461,478,478
1782collectionco13rous,bub_gb_9suPGCX1S6MC,0.9698412698412698,0.9698412698412698,611,630,630
1782collectionco14rous,bub_gb_0jnFPeSFjiwC,0.9438775510204082,0.9438775510204082,555,588,588
1782collectionco17rous,bub_gb_fLaeSbG_CZkC,0.9688888888888889,0.9646017699115044,436,450,452
1782defenceofrig00obryuoft,defenceofrightho00obryuoft,0.9150943396226415,0.9150943396226415,97,106,106
1791emileoudel01rous,amileoudeldu01rous,0.9518072289156626,0.948,474,498,500
1791emileoudel01rous,emileoudelduca01rous,0.9518072289156626,0.9673469387755103,474,498,490
1791emileoudel01rous,mileoudelducati07rousgoog,0.9156626506024096,0.9101796407185628,456,498,501
1791emileoudel02rous,amileoudeldu02rous,0.9485981308411215,0.9530516431924883,406,428,426
1791emileoudel02rous,h1762mileou02rous,0.9462616822429907,0.9551886792452831,405,428,424
1791emileoudel02rous,oeuvresdejjrouss16rous,0.9415887850467289,0.9549763033175356,403,428,422
1791emileoudel03rous,mileoudeld03rous,0.905,0.900497512437811,362,400,402
1811sermosobreoe00mace,nouveaudictionn08chaugoog,0.903179190751445,0.9398496240601504,625,692,665
